Date,Symbol,Action,Price,Quantity,PnL,Commission
02/23/2021,QQQM,BUY,126.47,100,-1.00,1.00
03/16/2021,QQQM,SELL,127.99,100,-1.00,1.00
05/06/2021,QQQM,BUY,131.25,100,-1.00,1.00
05/21/2021,QQQM,SELL,132.03,100,-1.00,1.00
08/19/2021,QQQM,BUY,143.97,100,-1.00,1.00
08/23/2021,QQQM,SELL,147.41,100,-1.00,1.00
09/20/2021,QQQM,BUY,147.11,100,-1.00,1.00
10/14/2021,QQQM,SELL,145.55,100,-1.00,1.00
12/02/2021,QQQM,BUY,154.46,100,-1.00,1.00
12/08/2021,QQQM,SELL,159.39,100,-1.00,1.00
12/20/2021,QQQM,BUY,152.21,100,-1.00,1.00
12/23/2021,QQQM,SELL,158.04,100,-1.00,1.00
01/10/2022,QQQM,BUY,150.22,100,-1.00,1.00
02/02/2022,QQQM,SELL,148.25,100,-1.00,1.00
02/22/2022,QQQM,BUY,135.67,100,-1.00,1.00
03/03/2022,QQQM,SELL,140.26,100,-1.00,1.00
04/25/2022,QQQM,BUY,129.96,100,-1.00,1.00
05/27/2022,QQQM,SELL,121.44,100,-1.00,1.00
06/13/2022,QQQM,BUY,112.29,100,-1.00,1.00
06/27/2022,QQQM,SELL,119.06,100,-1.00,1.00
08/29/2022,QQQM,BUY,122.52,100,-1.00,1.00
10/18/2022,QQQM,SELL,111.43,100,-1.00,1.00
12/20/2022,QQQM,BUY,108.47,100,-1.00,1.00
01/11/2023,QQQM,SELL,110.77,100,-1.00,1.00
03/13/2023,QQQM,BUY,115.79,100,-1.00,1.00
03/16/2023,QQQM,SELL,120.38,100,-1.00,1.00
08/11/2023,QQQM,BUY,148.34,100,-1.00,1.00
08/24/2023,QQQM,SELL,151.08,100,-1.00,1.00
09/21/2023,QQQM,BUY,146.50,100,-1.00,1.00
10/10/2023,QQQM,SELL,148.99,100,-1.00,1.00
10/26/2023,QQQM,BUY,141.76,100,-1.00,1.00
11/02/2023,QQQM,SELL,146.79,100,-1.00,1.00
04/16/2024,QQQM,BUY,175.71,100,-1.00,1.00
05/03/2024,QQQM,SELL,177.20,100,-1.00,1.00
07/25/2024,QQQM,BUY,189.46,100,-1.00,1.00
08/14/2024,QQQM,SELL,189.36,100,-1.00,1.00
